{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: 1-100, Centroid: (528.48529, 397.27752)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: 1-137, Centroid: (393.0638, 361.64713)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: 1-141, Centroid: (338.36061, 361.64713)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: 1-146 to 1-168, Centroid: (282.17257, 406.45539)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: 1-202, Centroid: (269.53201, 187.90901)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: 1-203, Centroid: (157.80419, 182.21538)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: 1-218, Centroid: (275.84967, 106.85751)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: 1-225, Centroid: (369.89318, 37.20575)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: 1-310, Centroid: (300.67544, -246.48334)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: 1-316, Centroid: (348.57524, -248.013)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: 1-318, Centroid: (374.49921, -248.013)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: 1-320, Centroid: (399.43155, -248.013)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: 1-330, Centroid: (452.55445, -248.013)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: 1-332, Centroid: (477.4868, -248.013)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: 1-342, Centroid: (523.24815, -288.01869)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: 1-435, Centroid: (162.20431, -248.13247)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: 1-488, Centroid: (-376.52463, -81.37325)}
{Building: Wilson Climbing Centre, Campus: North Campus, Floor: Level 1, Room: 1-501, Centroid: (40.52892, -45.37866)}
